,start_num,stop_reason,FX_best,X_best,dimensions,error_norm
174,74,stagnation_lim,-329.99999999999983,[-2.40194541e-08  9.38983919e-09  3.35792993e-09  1.31996190e-08],4,1.7053025658242404e-13
175,75,stagnation_lim,-329.9999999999994,[-4.81459862e-08  1.80082460e-08 -1.46530040e-08 -1.56826073e-08],4,6.252776074688882e-13
176,76,stagnation_lim,-329.9999999999978,[-3.39123943e-08 -4.70951149e-08  9.68670685e-09 -8.80932197e-08],4,2.2168933355715126e-12
177,77,stagnation_lim,-329.9999999999996,[-2.24966105e-09 -1.13663000e-08  4.07304182e-08  1.35722304e-08],4,3.979039320256561e-13
178,78,stagnation_lim,-329.99999999999943,[-4.22620416e-08 -2.82125426e-08  7.97358029e-09  1.60930255e-08],4,5.684341886080801e-13
179,79,stagnation_lim,-329.9999999999999,[ 9.36427182e-09  1.80887454e-08 -1.41308483e-08 -5.30060645e-09],4,1.1368683772161603e-13
180,80,stagnation_lim,-329.999999999997,[ 1.58503438e-08 -8.66226482e-08 -8.47447811e-08 -1.38954944e-08],4,3.0127011996228248e-12
181,81,stagnation_lim,-329.9999999999909,[-3.47136753e-08 -9.60814105e-08 -1.86348174e-07  2.29905216e-08],4,9.094947017729282e-12
182,82,stagnation_lim,-329.99999999999073,[ 6.72313741e-08 -1.18566962e-07  1.62563854e-07  4.07309646e-08],4,9.265477274311706e-12
183,83,stagnation_lim,-329.9999999999992,[-1.80772704e-08  4.62001023e-09  1.39477209e-08 -5.97481060e-08],4,7.958078640513122e-13
184,84,stagnation_lim,-329.99999999999557,[-8.90661038e-08  5.04540748e-08 -1.08930687e-08  1.07762030e-07],4,4.433786671143025e-12
185,85,stagnation_lim,-329.9999999999988,[-1.23927149e-08 -3.40187300e-08  6.63153765e-08  1.76481845e-08],4,1.1937117960769683e-12
186,86,stagnation_lim,-329.99999999999494,[-1.24781972e-07  6.82028109e-08  4.85065379e-09  7.30665710e-08],4,5.059064278611913e-12
187,87,stagnation_lim,-329.9999999999975,[-7.71133760e-09  1.09949518e-07  1.51027758e-08 -1.49969562e-08],4,2.5011104298755527e-12
188,88,stagnation_lim,-329.99999999999955,[ 3.23780148e-08 -1.40723144e-08  3.28780440e-08  2.24418393e-09],4,4.547473508864641e-13
189,89,stagnation_lim,-329.99999999999517,[ 9.65019960e-08 -1.49192126e-09  1.12992112e-07  4.68140598e-08],4,4.831690603168681e-12
190,90,stagnation_lim,-329.99999999999955,[-3.47154626e-08 -2.66160186e-08 -2.16679607e-09  1.57950929e-08],4,4.547473508864641e-13
191,91,stagnation_lim,-329.9999999999996,[-2.32654434e-09 -3.67630246e-08 -9.38130429e-09 -2.50906737e-08],4,3.979039320256561e-13
192,92,stagnation_lim,-329.9999999999991,[-2.47144944e-08 -1.08102027e-08  5.92072451e-08  1.47901790e-08],4,9.094947017729282e-13
193,93,stagnation_lim,-329.9999999999996,[-2.56657828e-08 -7.52039468e-09  2.10681378e-08 -2.70453967e-08],4,3.979039320256561e-13
194,94,stagnation_lim,-329.9999999999996,[-4.06811442e-08 -1.23857007e-08 -1.00349059e-08  5.21798259e-09],4,3.979039320256561e-13
195,95,stagnation_lim,-329.9999999999997,[-3.17545876e-09  1.20655165e-08 -1.08185969e-08 -3.51226079e-08],4,2.8421709430404007e-13
196,96,stagnation_lim,-329.99999999999903,[-2.65201689e-08 -3.74263022e-08  1.71727407e-08 -4.94582910e-08],4,9.663381206337363e-13
197,97,stagnation_lim,-329.999999999998,[-1.92431469e-08  9.64376300e-08  1.18783812e-08  1.12096930e-08],4,1.9895196601282805e-12
198,98,stagnation_lim,-329.99999999999955,[ 7.85372311e-09 -4.82648995e-08  3.52485624e-10  6.49518548e-09],4,4.547473508864641e-13
199,99,stagnation_lim,-329.99999999999795,[ 1.81165696e-08 -8.17143245e-08 -5.61839517e-08  9.97872967e-09],4,2.0463630789890885e-12
200,0,stagnation_lim,-328.7253048806605,"[ 0.01211155 -0.01831042 -0.02677479  0.00347519  0.00206577  1.00652342
 -0.00686569 -0.00401129]",8,1.2746951193395262
201,1,stagnation_lim,-329.9999999798214,"[ 4.35832322e-06 -7.22330047e-07 -2.50086356e-06 -2.41373744e-06
 -3.01818798e-06 -3.59605656e-07  7.46560766e-06 -2.26705731e-06]",8,2.0178617887722794e-08
202,2,stagnation_lim,-329.99999996886936,"[-1.46631839e-06 -4.24205844e-07 -2.85074782e-06  1.20731697e-06
 -3.74523452e-06  5.29024687e-07 -1.02537508e-05  5.05512560e-06]",8,3.1130639399634674e-08
203,3,stagnation_lim,-329.99999996726365,"[-9.69449940e-06  1.87866741e-07 -1.51651333e-06  2.33473052e-06
  7.31173071e-06 -8.54704212e-08 -2.00195679e-06 -2.40047895e-06]",8,3.273635229561478e-08
